Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss   0.17 |n_ep   121 |ep_len   25.9 |ep_rew  -0.31 |raw_ep_rew   0.93 |env_step   4000 |time 00:30 rem 1002:14
iter  54000 |loss   0.14 |n_ep  8899 |ep_len   88.7 |ep_rew   1.51 |raw_ep_rew  12.64 |env_step 432000 |time 53:49 rem 942:50
iter  54500 |loss  -0.02 |n_ep  8953 |ep_len   78.3 |ep_rew   1.24 |raw_ep_rew  11.93 |env_step 436000 |time 54:18 rem 942:15
iter  55000 |loss   0.13 |n_ep  8999 |ep_len   85.7 |ep_rew   1.52 |raw_ep_rew  13.93 |env_step 440000 |time 54:48 rem 941:39
iter  55500 |loss   0.02 |n_ep  9046 |ep_len   81.4 |ep_rew   1.37 |raw_ep_rew  14.49 |env_step 444000 |time 55:17 rem 941:04
iter  56000 |loss  -0.02 |n_ep  9090 |ep_len   89.8 |ep_rew   1.46 |raw_ep_rew  14.18 |env_step 448000 |time 55:47 rem 940:30
iter  56500 |loss   0.06 |n_ep  9133 |ep_len   87.6 |ep_rew   1.47 |raw_ep_rew  14.51 |env_step 452000 |time 56:17 rem 939:55
iter  57000 |loss   0.09 |n_ep  9178 |ep_len   97.5 |ep_rew   1.78 |raw_ep_rew  13.55 |env_step 456000 |time 56:46 rem 939:19
iter  57500 |loss   0.05 |n_ep  9224 |ep_len   82.6 |ep_rew   1.32 |raw_ep_rew  15.71 |env_step 460000 |time 57:16 rem 938:44
iter  58000 |loss   0.06 |n_ep  9263 |ep_len  100.0 |ep_rew   1.74 |raw_ep_rew  15.98 |env_step 464000 |time 57:45 rem 938:10
iter  58500 |loss  -0.00 |n_ep  9311 |ep_len   96.6 |ep_rew   1.64 |raw_ep_rew  15.44 |env_step 468000 |time 58:15 rem 937:35
iter  59000 |loss  -0.05 |n_ep  9360 |ep_len   82.8 |ep_rew   1.44 |raw_ep_rew  13.56 |env_step 472000 |time 58:45 rem 937:01
iter  59500 |loss   0.07 |n_ep  9404 |ep_len  104.8 |ep_rew   1.92 |raw_ep_rew  13.46 |env_step 476000 |time 59:14 rem 936:27
